"Name","Comment","DriverName","Location","PortName"
"OAKCP-QD1-F","CREATED BY BOBBY WOODY 12/22/14","Xerox GPD PCL6 V3.6.433.6.0.0","OAKWOOD CORP PLAZA","172.24.214.155"
"MCN1G-REC-B-P956","bac","Xerox Global Print Driver PCL6","NPT1 Reception","172.23.110.148"
"MCN1G-REG-F-P93E","","HP Universal Printing PCL 6","NPT-F1 Registration","172.23.110.10"
"MCN1G-REG-E-P93D","","Xerox WorkCentre 4100/4200 Series Class Driver","N1G FINANCIAL NAVIGATORS III","172.23.110.160_1"
"MCN1G-VOL-A","BAC","HP Universal Printing PCL 6","NPT1","172.23.110.1"
"MCN1G-TEL-A-P701","bac","Xerox GPD PCL6 V3.9.520.6.0","NPT1 Telemitry","172.23.110.150"
"MCN1G-REG-D-P93C","bac","Xerox GPD PCL6 V3.9.520.6.0","Registration Blood draw","172.23.110.145"
"MCN1G-REG-B-P93A","bac","Xerox GPD PCL6 V3.9.520.6.0","NPT1 Registration","172.23.110.153"
"MCN1G-REG-A-P939","bac","Xerox GPD PCL6 V3.9.520.6.0","NPT1 Registration","172.23.110.152"
"OAKCP-QD2-A","CREATED BY BOBBY WOODY ","Xerox GPD PCL6 V3.9.520.6.0","OAKWOOC CORP PLAZA PRS","172.24.208.150"
"MCN1G-REG-C-P93B","bac","Xerox Global Print Driver PCL6","NPT1 Registration","172.23.110.154"
"LP-HK-XEROX","","Xerox Global Print Driver PCL6","","172.22.20.192"
"LP-DIABETES-ED-XEROX","CREATED BY BOBBY WOODY 4-12-12","Xerox AltaLink C8055 PCL6","LPC DIABETES EDUCATION DEPT","172.22.10.156"
"LPAT1-HSP-B","APCOON - 2/17/17 - HPM452nw","HP Color LaserJet Pro M452 PCL 6","Hospice Lanier Park Office","172.22.10.153"
"LP-LTC-A","Sharon Rickert's Office 172.22.20.157","Xerox Global Print Driver PCL6","Lanier Park Long Term Care","172.22.20.157"
"NGPG-MP12-OB-Ex-M","HP","HP Universal Printing PCL 6","MP1 200 OB","172.19.72.112"
"LCHNA-SIC","Setup per SDE#451631 - pg","Xerox GPD PCL6 V3.9.520.6.0","New Horizons North","172.19.136.160"
"LCHNA-REHAB-A","Created by Alex on 3/4/2013 (HP LaserJet 400 M401n) epic name 107REHHP001 already created ","HP Universal Printing PCL 6","Lanier Campus","172.22.20.154"
"MCS2E-CRD-MGR-A","CREATED BY BOBBY WOODY 8/15/14","Xerox Global Print Driver PCL6","S2E MGR OFFICE","172.25.32.156"
"LP-BARI-P7DD","Re-created by Patrick G. - 10/5/2012","HP Universal Printing PCL 6","LP BARIATICS -LP CAMPUS","172.22.10.155"
"LPAT1-WND-A-P921","CREATED BY BOBBY WOODY 3/2/2012","HP Universal Printing PCL 6","LPC WOUND OSTOMY","172.22.2.155"
"LPCA2-BENEFITS-RECP","CREATED BY JUSTIN REED 8-23-12","Xerox Global Print Driver PCL6","LPC ATRIUM-2 BENEFITS RECEPTION SUITE 215","172.22.2.172"
"OAKCP-QD1-B","PRINTER CREATED BY RYAN PERPALL, 12/4/14","Xerox GPD PCL6 V3.5.404.8.0","Oakwood Corporate Plaza","172.24.214.151"
"LPCMT-DAY-RM","RENAMED FROM MED-TRANS-OFFICE TO LPCMT-DAY-RM 3-18-16","HP Universal Printing PCL 6","LPC MEDICAL TRANSPORT OFFICE","172.22.2.190"
"LPCA2-COMP-B","CREATED BY JUSTIN REED 8-23-12","HP LJ300-400 color M351-M451 PCL 6","LPC ATRIUM-2 COMPENSATION SUITE 205","172.22.2.171"
"LPCA2-BENEFITS","CREATED BY JUSTIN REED 8-23-12","HP LJ300-400 color M351-M451 PCL 6","LPC ATRIUM-2 BENEFITS OFFICE SUITE 215","172.22.2.170"
"LPAT1-WND-C","CREATED BY BOBBY WOODY 3/2/2012","HP Universal Printing PCL 6","LPC WOUND OSTOMY","172.22.2.134"
"LPAT1-WND-B-P831","HP LaserJet 4000","HP Universal Printing PCL 6","Lanier Park -  WOC Front Desk","172.22.2.139"
"NGPG-TB-2420","mwdetraz  5/4/2012","HP Universal Printing PCL 6","NGPG Thompson Bridge","172.19.23.25"
"LPAT1-WND-D","Created by Dave","Xerox Global Print Driver PCL6","LP Atrium 1st Floor WOC","172.22.3.200"
"NGPG-DAW-UC-B","NGPG Dawsonville 400 Urgent Care Xerox   mwdetraz 2/27/2013","Xerox Global Print Driver PCL6","NGPG Dawsonville 400 Urgent Care","172.17.72.171"
"LCHLA-ADM-A-P8A8","CREATED BY BOBBY WOODY 10-22-12","Xerox Global Print Driver PCL","LPC NEW HORIZONS ADMIN OFFICE PRINTER","172.22.20.152"
"LCHLA-MDS-A","CREATED BY BOBBY WOODY 10-22-12","Xerox GPD PCL6 V3.9.520.6.0","LPC NEW HORIZONS MDS OFFICE","172.22.20.151"
"LCHLA-ADM-B","BAC","Xerox GPD PCL6 V3.9.520.6.0","LP NH Front desk","172.22.20.155"
"LCHLA-ACTIVITIES-A","Printer created by Ryan P. 1/29/16","Dell 2150cn Color Printer PCL6","lp nursing home activities area","172.22.20.156"
"JJSLB-FOF-A-P8D6","CREATED BY BOBBY WOODY 2-29-2012","HP Universal Printing PCL 6","JESSE JEWELL SLEEP LAB FRONT OFFICE","172.19.60.151"
"NGPG-AA-LIME-D","Allergy & Asthma Limestone - NGPG   mwdetraz 9/27/2012","HP LaserJet 400 M401 PCL 6","Allergy & Asthma Limestone - NGPG","172.19.38.153"
"JJSLB-LAB-B","Johnny Harris","Brother Laser Type1 Class Driver","Sleep Lab Front Office","WSD-c67ecc8b-77b1-47ba-b914-48dc7f6a8aa6.003e"
"JJSLB-LAB-A-P8D7","Re-created by Patrick G. - 10/9/2012","Xerox Global Print Driver PCL6","SLEEPLAB","172.19.60.150"
"LCHLE-NUR-A-P736","CREATED BY BOBBY WOODY 10-19-12","Xerox Global Print Driver PCL6","LPC NEW HORIZONS EAST NURSE STATION","172.22.50.153"
"LCHN2-NUR-F","CREATED BY BOBBY WOODY 2-29-2012","Xerox GPD PCL6 V3.9.520.6.0","NEW HORIZONS NORTH UNIT 2 BILLING OFFICE","172.19.136.155"
"LCHN2-NUR-E","CREATED BY BOBBY WOODY 2-29-2012","Xerox GPD PCL6 V3.9.520.6.0","NEW HORIZONS NORTH UNIT 2 NURSE STATION","172.19.136.154"
"LCHNA-ADM-A-P8AD","CREATED BY BOBBY WOODY 2-29-2012","Xerox GPD PCL6 V3.9.520.6.0","NEW HORIZONS NORTH ADMIN AREA","172.19.136.150"
"LCHN3-NUR-C","CREATED BY BOBBY WOODY 2-29-2012","Xerox GPD PCL6 V3.9.520.6.0","NEW HORIZONS NORTH UNIT 3 NURSE STATION","172.19.136.152"
"LCHN2-ADD-G","CREATED BY BOBBY WOODY 2-29-2012","Xerox Global Print Driver PCL6","NEW HORIZONS NORTH UNIT 2 ADMISSIONS","172.19.136.157"
"LCHN1-MGR-D","CREATED BY BOBBY WOODY 2-29-2012","Xerox GPD PCL6 V3.9.520.6.0","NEW HORIZONS NORTH MDS COORDINATOR","172.19.136.153"
"LCHLW-NUR-A-P72C","CREATED BY BOBBY WOODY 10-19-12","Xerox Global Print Driver PCL6","LPC NEW HORIZONS WEST NURSE STAION XEROX","172.22.20.150"
"LCHN1-NUR-B-P7B1","CREATED BY BOBBY WOODY 2-29-2012","Xerox GPD PCL6 V3.9.520.6.0","NEW HORIZONS NORTH UNIT 1 NURSE STATION","172.19.136.151"
"NGPG-DAW-A","NGPG-Dawsonville Xerox WC4250","Xerox Global Print Driver PCL6","NGPG-Dawsonville","172.17.72.177"
"LW-RN-OPMGR","Added 4/11/2016 -- DANNY","HP Universal Printing PCL 6","Laurewood RN Operational Mgr Office","172.25.96.158"
"LW-PSY-HP","SDE 344352","HP LaserJet 400 M401 PCL 6","Laurel Wood Psychiatry","172.25.96.110"
"MCOP2-Path-HP","","HP Universal Printing PCL 6","","172.20.24.159"
"LW-RN-SCHED","CREATED 10/4/16 BY DANNY. R","HP LaserJet 400 M401 PCL 6","Nurse Scheduler Office (Outside Unit 1)","172.25.96.159"
"LP_ADM_P73C","CREATED BY BOBBY WOODY 4-12-12","Xerox Global Print Driver PCL6","LPC WOC REGISTRATION AREA","172.22.2.49"
"LPLMG-FND-D","Brian Bailey Office - Dell 2330dn","Dell 2330dn Laser Printer","Foundation","172.19.132.170"
"LPLMG-FND-C","Kevin Fogarty","HP Color LaserJet Pro M452 PCL 6","Foundation","172.19.132.169"
"LP_ADM_P73B","CREATED BY BOBBY WOODY 4-12-12","Xerox GPD PCL6 V3.6.433.6.0.0","LPC ADMIN AREA ATRIUM","172.22.2.48"
"MHLW3-NUR-A-P863","Created by Alex on 01/05/2012","Xerox Global Print Driver PCL6","LW Unit 3","172.25.96.35"
"MB-3C-CASE-P70A","S3D","Xerox Global Print Driver PCL6","S3D Case Managment","172.25.50.154"
"MCC2A-NUR-A-P729","Created by Dave 6/5/2012","Xerox GPD PCL6 V3.6.433.6.0.0","C2A","172.25.38.151"
"MC0PG-RADONC-MGR","printer built by Ryan Perpall 9/10/15","HP LaserJet 4100 Series PCL6","Jon Marcklinger office","172.20.20.68"
"MCC2B-NUR-B-P811","Created by Dave 6/5/2012","Xerox GPD PCL6 V3.9.520.6.0","C2B","172.25.38.150"
"MCN1G-REC-C-P957","BAC","Xerox Global Print Driver PCL6","NPT1 Rad Scheduling","172.23.110.165"
"MCS1D-ED-MGR-P7C9","HP LJ 3005 (HP LaserJet P3005)","HP Universal Printing PCL 6","S1D ED Kay's Office","172.25.20.130"
"MB_LOADING_DOCK","CREATED BY BOBBY WOODY 4-11-12","HP Universal Printing PCL 6","SGE RECEIVING DOCK","172.25.10.160"
"MB-3E-CASEMGT-P889","S3E","Xerox GPD PCL6 V3.9.520.6.0","S3E Case Managment","172.25.50.153"
"MC-SG-EVS","Secretary Office","Xerox GPD PCL6 V3.6.433.6.0.0","EVS Ground Floor","172.25.0.112"
"MB_LOADING_DOCK2","Main Campus Loading Dock
HP Laser Jet Printer","HP Universal Printing PCL 6","Main Campus Loading Dock","172.25.10.18"
"LPLM1-HSP-H","Amanda Harris Office","HP LaserJet 400 M401 PCL 6","Hospice ","172.19.132.163"
"LPLM1-HSP-G","","HP Universal Printing PCL 6","","172.19.132.155"
"LPLM1-HSP-I","","HP Universal Printing PCL 6","LIMESTONE HOSPICE","172.19.132.156"
"MCN2G-SUR-G-P95E","bac","HP Universal Printing PCL 6","sss","172.23.124.151"
"LPLM1-HSP-F","HP m401n
-RPM","HP LaserJet 400 M401 PCL 6","Limestone Hospice 203","172.19.132.162"
"LPLM1-HSP-B","CREATED BY BOBBY WOODY 2-29-2012","Xerox AltaLink C8055 PCL6","Hopice Xerox","172.19.132.157"
"LPLM1-HSP-A","CREATED BY BOBBY WOODY 2-29-2012","Lexmark Universal v2","LIMESTONE HOSPICE","172.19.132.49"
"LPLM1-HSP-E","","HP Universal Printing PCL 6","Hospice - Nurse Area","172.19.132.161"
"LPLM1-HSP-D","Created by Andy B.  - 6/20/2012","Xerox GPD PCL6 V3.9.520.6.0","Hospice Copy Room","172.19.132.158"
"MCS1E-EDDRLOUN","Part of the South tower switch change over.","HP LaserJet 400 M401 PCL 6","ED DR'S LOUNGE - S1E","172.25.24.159"
"LPLMG-FND-A","","HP LaserJet 400 M401 PCL 6","","172.19.132.94"
"NGPG-MP12-URO-Ex-A","HP","HP Universal Printing PCL 6","MP1 200 URO","172.19.72.140"
"LPLMG-FND-B","Carla Poser's Office","HP Color LaserJet Pro M452 PCL 6","Foundation","172.19.132.168"
"NGPG-MP12-URO-Ex-B","HP","HP Universal Printing PCL 6","MP1 200 URO","172.19.72.141"
"LPLM1-HSP-N","PRINTER CREATED BY RYAN PERPALL 4/7/15","HP Universal Printing PCL 6","Hospice patient care coordinators office, #215","172.19.132.96"
"LPLM1-HSP-K","Created 7/21/16","HP Universal Printing PCL 6","Hospice HIM","172.19.132.166"
"LPLM1-HSP-J","Created 4/15/2016 - APCOON","HP LaserJet 200 color M251 PCL 6","HOPSICE ADMIN","172.19.132.164"
"MCSGF-TLC-P8C5","","Xerox Global Print Driver PCL6","","172.25.4.154"
"LPLM1-HSP-M","Created 7/20/16 by Adam Coon","HP Universal Printing PCL 6","Hospice Multi-User Room","172.19.132.167_1"
"MCN2G-SUR-B-P959","bac","Xerox Global Print Driver PCL6","NPT2 Sugery","172.23.120.152"
"MCOP3-VAS-A-P85B","Created by Andy B.","HP Universal Printing PCL 6","Cardiology - Vas Lab","172.20.26.165"
"MCOP3-VAS-A-P728","","Xerox Global Print Driver PCL6","Outpatient 3rd Floor","172.20.26.179"
"MCOP4-CRD-DROFFICE","Created by Andy B.","HP Universal Printing PCL 6","Cardiology - Dr Marshall Office","172.20.28.142"
"SHER-REGAIN-XEROX","Xerox 4x50 moved from Oakwood rehab.","Xerox GPD PCL6 V3.9.520.6.0","Sherwood Regain Gym","172.19.2.151"
"MCOP3-ECHO-A-P705","Created by Andy B.","Xerox Global Print Driver PCL6","Echo Lab","172.20.26.153"
"MCOP3-CRD-I","","Xerox Global Print Driver PCL6","Special Procedures","172.20.26.174"
"MCOP3-CRD-HFOFFICE","Created by Andy B.","Xerox Global Print Driver PCL6","Cardiology Heart Failure Office","172.20.26.176"
"MCOP3-CRD-STRESSSUP","Created by Andy B.","HP Universal Printing PCL 6","Cardiology Echo Supervisor Office","172.20.26.170"
"MCOP3-CRD-J","Crreated by Andy B.","HP Universal Printing PCL 6","Cardiology Analyst","172.20.26.178"
"MCOP4-CTH-A-P7B6","Created by Andy B. 4/30/12","HP Universal Printing PCL 6","Cardiology Reading Room","172.20.28.169"
"MCOP4-CTH-D","Created by Andy B. 4/30/12","Xerox GPD PCL6 V3.9.520.6.0","Cardiology CathLab 2 Control Room","172.20.28.189"
"MCOP4-CTH-CTRLRM4","Created By Andy B.","Xerox Global Print Driver PCL6","CathLab Control Room 4","172.20.28.154"
"MCOP4-CTH-DIRECTOR-P723","Created by Andy B. 4/30/12","HP Universal Printing PCL 6","Cardiology Directors Office","172.20.28.166"
"MCS1D-EDPCC","","Xerox GPD PCL6 V3.9.520.6.0","ED ADMIN OFFICE - S1D AREA","172.25.20.163"
"NGPG-RP-BC-FD2","mwdetraz  5/3/2012","HP Universal Printing PCL 6","Riverplace Braselton Clinic","172.26.21.211"
"MCOP4-CTH-C","Created by Andy B. 4/30/12","HP Universal Printing PCL 6","Cardiology Desk Outside CathLab 2","172.20.28.170"
"MCOP4-CTH-B","Created by Andy B. 4/30/12","Xerox Global Print Driver PCL6","Cardiology Cath Lab Main Printer","172.20.28.199"
"MCOP4-CTH-CATHLAB-P7B5","Created by Andy B. 4/30/12","HP Universal Printing PCL 6","Cardiology - Front Receptionist Desk","172.20.28.164"
"NGPG-CHESTNUT-NURSE-B","Was PCNR_CHESTNUT_NURSE_B  MWDETRAZ 4/27/2012","Xerox GPD PCL6 V3.9.520.6.0","Chestnut Mountain NGPG ","172.19.19.160"
"MCOP2-SP-743","","Xerox GPD PCL6 V3.9.520.6.0","","172.20.24.154"
"MCOP2-Reg","","HP Universal Printing PCL 6","","172.20.24.212"
"NGPG-UC-DAL-A","MWD 2016","Xerox Global Print Driver PCL6","Urgent Care Dahlonega","172.17.10.158"
"MCOP2-SPEC-PROC","","Xerox Global Print Driver PCL6","","172.20.24.161"
"MCOP2-PathTran-200","HP LJ 9050 (hp LaserJet 9050)","HP Universal Printing PCL 6","OutPatient Building (OPB), 2nd floor, Path, Transcription Dept","172.20.24.160"
"MCOP2-Histo-Copath2","","HP Universal Printing PCL 6","","172.20.24.152"
"MCOP2-FD-XWC-203","","Xerox GPD PCL6 V3.9.520.6.0","","172.20.24.158"
"MHLW4-NUR-A-P864","Created by Alex on 01/05/2012","Xerox GPD PCL6 V3.9.520.6.0","LW Unit 4","172.25.96.102"
"MCOP2-Micro-615","Printer 615 in Sunquest.  -RPM","HP Universal Printing PCL 6","OP2 Micro Lab","172.20.24.105"
"MCOP2-Trans-XWC-199","","Xerox Global Print Driver PCL6","","172.20.24.150"
"MCOP3-CRD-F","Created by Andy B.","HP Universal Printing PCL 6","OP-3 EKG Managers Office","172.20.26.158"
"MCOP3-CRD-D-P88E","Created by Andy B.","Xerox Global Print Driver PCL6","OP-3 Stress Lab","172.20.26.163"
"MCOP3-CRD-H","","HP Universal Printing PCL 6","Nuclear Stress Lab","172.20.26.173"
"MCOP3-CRD-G","Created by Andy B.","Xerox Global Print Driver PCL6","OP-3 Christy Camp's Office","172.20.26.150"
"MCOP3-CRD-COLOR","Created by Andy B.  4/25/2012","HP Universal Printing PCL 6","OP-3 VAS Area","172.20.26.181"
"MCOP3-CRD-A-P7DC","Created by Andy B.","HP Universal Printing PCL 6","Cardiology","172.20.26.175"
"MCOP3-CRD-3","Created by Andy B.","Xerox Global Print Driver PCL6","Stribling Education","172.20.26.168"
"MCWB2-THC-NUR-A","CREATED BY BOBBY WOODY 7/8/14","Xerox GPD PCL6 V3.9.520.6.0","WISTERIA-2 THC CLINIC SIDE POD 1","172.30.60.161"
"MCOP3-CRD-B-P83B","Created by Andy B.","HP Universal Printing PCL 6","Cardiology ","172.20.26.162"
"MCS1D-DIALYSIS-B","MCS1D-DIALYSIS-B
","HP Universal Printing PCL 6","MCS1D-DIALYSIS-B","172.20.6.202"
"MCS1D-CDS","CREATED BY BOBBY WOODY 11/21/14","Xerox GPD PCL6 V3.9.520.6.0","S1D CLINICAL DOCUMENTATION AREA","172.25.18.160"
"MCS1D-ED-CLIN-P707","","HP Universal Printing PCL 6","","172.25.20.119"
"NGPG-DAW-UC-D","Dawsonville Urgent Care","HP Universal Printing PCL 6","Dawsonville Urgent Care","172.17.72.179"
"MCS1D-ADMISSIONS","Xerox WC 4150","Xerox GPD PCL6 V3.9.520.6.0","S1D Adminissions","172.25.20.129"
"MCS2B-MB-C-P761","Created by Dave 6/5/2012","Xerox GPD PCL6 V3.9.520.6.0","S2B","172.25.36.151"
"MCS1C-LDWRM","SETUP PER SDE#454399","Xerox GPD PCL6 V3.9.520.6.0","LABOR AND DELIVERY WORK ROOM","172.25.27.122"
"MCS1D-ADMIS-P867","","Xerox GPD PCL6 V3.5.404.8.0","","172.25.20.123"
"MCS1C-PACU-P81E","W & C PACU  mwdetraz 7/20/2012","Xerox GPD PCL6 V3.9.520.6.0","W & C PACU","172.25.27.114"
"NGPG-ASM-BUFORD-A","10/17/14 - JAS","Xerox Global Print Driver PCL6","NGPG ASM Buford/Friendship","172.19.16.158"
"MCS1D-INPNURO","MCS1D - OLD RADIOLOGY - NOW TLC INTERNAL MEDICINE","Xerox GPD PCL6 V3.9.520.6.0","MCS1D - OLD RADIOLOGY","172.25.18.189"
"MCS1D-INF-P903","","Xerox Global Print Driver PCL6","","172.25.16.150"
"MCS1D-NUR-ADMIN","","HP LaserJet Pro M402-M403 PCL 6","","172.25.19.232"
"REGAIN-XEROX","CREATED BY BOBBY WOODY 3-8-12","Xerox Global Print Driver PCL6","SHERWOOD REHAB REGAIN GYM","172.19.2.46"
"MCS1D-HOSP-P702","","Xerox Global Print Driver PCL6","","172.25.20.120"
"MCS1D-EDADMIN-XEROX","Created - 3/18/2013 - P.G.","Xerox GPD PCL6 V3.9.520.6.0","S1D - ED ADMIN OFFICES","172.25.20.156"
"MCS1D-ED-DIRECTOR","CREATED BY BOBBY WOODY 8/9/12","Xerox GPD PCL6 V3.5.404.8.0","ED DIRECTOR'S OFFICE","172.25.20.155"
"MCS1D-HOSP-COLOR","","Lexmark Universal v2","","172.25.5.239"
"MCS1D-EDREGADM-C","Replaced Epson C88 - Requested by Loren Miller - ED Registration Manager.","HP Universal Printing PCL 6","MCS1D-ED REGISTRATION Manager office","172.25.20.160"
