"Name","Comment","DriverName","Location","PortName","Subnet","SubLocation"
"OAKCP-QD1-D","CREATED BY BOBBY WOODY 12/20/14","Xerox GPD PCL6 V3.9.520.6.0","OAKWOOD CORP PLAZA","172.24.214.153","172.24.214.0","Oakwood Admin - IDF C Data"
"OAKCP -QD2-G","","Xerox GPD PCL6 V3.9.520.6.0","","172.24.208.156","172.24.208.0","Oakwood Admin - MDF Data"
"NIN-DESK1-P82D","Created by Andy B. - 7/20/2012","Xerox GPD PCL6 V3.9.520.6.0","Intermediate Nurse Area Desk 1","172.25.12.187","172.25.12.0","SPT Data NICU-IDF"
"NHN-ACTIVITIES-COLOR","","HP Universal Printing PCL 5","NHN LIMESTONE ACTIVITIES OFFICE","172.19.136.161","172.19.136.0","NHN "
"NGPG-WINDER-E","NGPG WINDER","Xerox GPD PCL6 V3.9.520.6.0","NGPG WINDER","172.17.88.154","172.17.88.0","NGPG Dr. Huff - Data"
"NGPG-WINDER-D","NGPG WINDER","HP Universal Printing PCL 5","NGPG WINDER","172.17.88.153","172.17.88.0","NGPG Dr. Huff - Data"
"NGPG-WAUKA-EMR2","mwdetraz  5/4/2012","HP Universal Printing PCL 5","NGPG Wauka Mountain Front Desk","172.19.17.156","172.19.17.0","WakauMtn-Data"
"NGPG-VA-NURSE-3","Created by Jess K. 07/09/2015","HP Universal Printing PCL 5","NGPG VA Nurse area","172.25.102.165","172.25.102.0","NGPG Vascular Associates Data"
"NGPG-VA-NURSE-2","Created by GRLEWIS - PowerShell","Lexmark Universal v2","","172.25.102.159","172.25.102.0","NGPG Vascular Associates Data"
"NGPG-VA-NURSE-1","mwdetraz  5/4/2012","HP Universal Printing PCL 5","NGPG Vascular Associates","172.25.102.158","172.25.102.0","NGPG Vascular Associates Data"
"NGPG-UC-RP-NURSESTN","Re-created by Dave 9-7-2013","HP Universal Printing PCL 5","Urgent Care Riverplace","172.26.11.214","172.26.10.0","RP MOB 1st Floor Data Range"
"NGPG-UC-RP-CHKOUT","Created by Andy B. - 7/18/2012","HP Universal Printing PCL 5","RiverPlace Urgent Care Check Out","172.26.11.210","172.26.10.0","RP MOB 1st Floor Data Range"
"NGPG-UC-GAIN-TRIAGE-2","mwdetraz  5/3/2012","HP Universal Printing PCL 5","Gainesville Urgent Care","172.19.2.172","172.19.2.0","Sherwood Plaza Location - Data"
"NGPG-UC-GAIN-TRIAGE-1","mwdetraz  5/3/2012","HP Universal Printing PCL 5","Gainesville Urgent Care","172.19.2.171","172.19.2.0","Sherwood Plaza Location - Data"
"NGPG-UC-GAIN-OCHLTH-NUR","UC Gainesville - Created by Andy B. - 7/17/2012","HP Universal Printing PCL 5","UC Gainesville Occ Health Nurse Station","172.19.2.166","172.19.2.0","Sherwood Plaza Location - Data"
"NGPG-UC-GAIN-LAB","mwdetraz  5/4/2012","HP Universal Printing PCL 5","NGPG Urgent Care Gainesville","172.19.2.186","172.19.2.0","Sherwood Plaza Location - Data"
"NGPG-UC-DAL-CART-5","MWD 2016","HP Universal Printing PCL 5","Urgent Care Dahlonega","172.17.10.154","172.17.10.0","NGPG-Dahlonega Urgent Care Data"
"NGPG-UC-DAL-CART-4","MWD 2016","HP Universal Printing PCL 5","Urgent Care Dahlonega","172.17.10.153","172.17.10.0","NGPG-Dahlonega Urgent Care Data"
"NGPG-UC-DAL-CART-3","MWD 2016","HP Universal Printing PCL 5","Urgent Care Dahlonega","172.17.10.152","172.17.10.0","NGPG-Dahlonega Urgent Care Data"
"NGPG-UC-DAL-CART-2","MWD 2016","HP Universal Printing PCL 5","Urgent Care Dahlonega","172.17.10.151","172.17.10.0","NGPG-Dahlonega Urgent Care Data"
"NGPG-UC-DAL-CART-1","MWD 2016","HP Universal Printing PCL 5","Urgent Care Dahlonega","172.17.10.150","172.17.10.0","NGPG-Dahlonega Urgent Care Data"
"NGPG-UC-DAL-C","Created by GRLEWIS - PowerShell","HP Universal Printing PCL 5","","172.17.10.160","172.17.10.0","NGPG-Dahlonega Urgent Care Data"
"NGPG-UC-DAL-B","Created by GRLEWIS - PowerShell","Xerox GPD PCL6 V3.9.520.6.0","","172.17.10.159","172.17.10.0","NGPG-Dahlonega Urgent Care Data"
"NGPG-UC-CLEV-CART-8","MWD 2016","HP Universal Printing PCL 5","Cleveland Urgent Care","172.19.34.132","172.19.34.0","Cleveland NGPG Data"
"NGPG-UC-CLEV-CART-7","MWD 2016","HP Universal Printing PCL 5","Urgent Care Cleveland","172.19.34.131","172.19.34.0","Cleveland NGPG Data"
"NGPG-UC-CLEV-CART-4","MWD 2016","HP Universal Printing PCL 5","Urgent Care Cleveland","172.19.34.128","172.19.34.0","Cleveland NGPG Data"
"NGPG-UC-CLEV-CART-3","MWD 2016","HP Universal Printing PCL 5","Urgent Care Cleveland","172.19.34.127","172.19.34.0","Cleveland NGPG Data"
"NGPG-UC-CLEV-CART-2","MWD 2016","HP Universal Printing PCL 5","Urgent Care Cleveland","172.19.34.126","172.19.34.0","Cleveland NGPG Data"
"NGPG-UC-CLEV-CART-1","MWD 2016","HP Universal Printing PCL 5","UC Cleveland","172.19.34.125","172.19.34.0","Cleveland NGPG Data"
"NGPG-UC-CLEV-C","","Xerox Global Print Driver PCL6","","172.19.34.164","172.19.34.0","Cleveland NGPG Data"
"NGPG-UC-CLEV-B","Urgent Care Cleveland Printer","HP Universal Printing PCL 5","Urgent Care Cleveland","172.19.34.163","172.19.34.0","Cleveland NGPG Data"
"NGPG-UC-CLEV-A","Urgent Care Cleveland Printer","HP Universal Printing PCL 5","Urgent Care Cleveland","172.19.34.162","172.19.34.0","Cleveland NGPG Data"
"NGPG-UC-BUFORD-P8D1","mwdetraz  5/4/2012","Xerox GPD PCL6 V3.9.520.6.0","NGPG Urgent Care Buford ","172.19.16.155","172.19.16.0","UrgentCare Buford - Friendship Road"
"NGPG-UC-BUFORD-NURSE","mwdetraz  5/4/2012","HP Universal Printing PCL 5","NGPG Urgent Care Buford ","172.19.16.151","172.19.16.0","UrgentCare Buford - Friendship Road"
"NGPG-UC-BUFORD-MGROFF","Created by Andy B. - 7/23/2012","HP Universal Printing PCL 5","Urgent Care Buford Managers Office","172.19.16.152","172.19.16.0","UrgentCare Buford - Friendship Road"
"NGPG-UC-BUFORD-LAB","Urgent Care Buford  mdetraz 7/11/2012","HP Universal Printing PCL 5","Urgent Care Buford","172.19.16.118","172.19.16.0","UrgentCare Buford - Friendship Road"
"NGPG-UC-BUFORD-FRTDESK","Urgent Care Buford  mdetraz 7/11/2012","HP Universal Printing PCL 5","Urgent Care Buford","172.19.16.150","172.19.16.0","UrgentCare Buford - Friendship Road"
"NGPG-TB-P76D","mwdetraz  5/4/2012","HP Universal Printing PCL 5","NGPG Thompson Bridge","172.19.23.151","172.19.23.0","Thompson bridge 24 bit networks"
"NGPG-TB-D","","HP Universal Printing PCL 5","","172.19.23.160","172.19.23.0","Thompson bridge 24 bit networks"
"NGPG-TB-C","","HP Universal Printing PCL 5","","172.19.23.159","172.19.23.0","Thompson bridge 24 bit networks"
"NGPG-TB-BACK-XRX","mwdetraz  5/4/2012","Xerox GPD PCL6 V3.9.520.6.0","NGPG Thompson Bridge","172.19.23.155","172.19.23.0","Thompson bridge 24 bit networks"
"NGPG-TB-B","Thompson Bridge Front Desk Xerox","Xerox GPD PCL6 V3.9.520.6.0","NGPG Thompson Bridge","172.19.23.157","172.19.23.0","Thompson bridge 24 bit networks"
"NGPG-SA-NURSE-1","mwdetraz  5/4/2012","HP Universal Printing PCL 5","NGPG Surgical Associates","172.25.100.150","172.25.100.0","NGPG Surgical Associates Data"
"NGPG-SA-LOWER-RX","JASEWELL","HP Universal Printing PCL 5","NGPG SURG ASSOC GAIN","172.25.100.159","172.25.100.0","NGPG Surgical Associates Data"
"NGPG-SA-LOWER-C","NGPG Surgical Associates Suite C Xerox Tray 2","Xerox GPD PCL6 V3.9.520.6.0","","172.25.100.157","172.25.100.0","NGPG Surgical Associates Data"
"NGPG-SA-Lower-A","","HP Universal Printing PCL 5","","172.25.100.156","172.25.100.0","NGPG Surgical Associates Data"
"NGPG-SA-FRTDSK-3","Printouts for Tray 3 Only - General Surgery Encounters","Xerox GPD PCL6 V3.9.520.6.0","Surgical Associates","172.25.100.152","172.25.100.0","NGPG Surgical Associates Data"
"NGPG-SA-FRTDSK-2","Printout from Tray 2 Only","Xerox GPD PCL6 V3.9.520.6.0","Surgical Associates","172.25.100.152","172.25.100.0","NGPG Surgical Associates Data"
"NGPG-SA-FRTDSK-1","Created by Andy B. - 7/24/2012","Xerox GPD PCL6 V3.9.520.6.0","NGPG Surgical Associates","172.25.100.152","172.25.100.0","NGPG Surgical Associates Data"
"NGPG-SA-DICTATE-1","mwdetraz  5/4/2012","HP Universal Printing PCL 5","NGPG Surgical Associates","172.25.100.153","172.25.100.0","NGPG Surgical Associates Data"
"NGPG-SA-A","JASEWELL","HP Universal Printing PCL 5","NGPG SURG ASSOC GAIN","172.25.100.158","172.25.100.0","NGPG Surgical Associates Data"
"NGPG-RP-BC-XEROX","Created by Andy B. - 7/18/2012","Xerox GPD PCL6 V3.9.520.6.0","RiverPlace Back of Front Desk","172.26.21.215","172.26.20.0","RP MOB 2nd Floor Data Range"
"NGPG-RP-BC-NUR7","jasewell","Xerox GPD PCL6 V3.9.520.6.0","NGPG West Jackson","172.26.21.151","172.26.20.0","RP MOB 2nd Floor Data Range"
"NGPG-RP-BC-NUR5","CREATED BY ZACHARY BRYSON","Xerox GPD PCL6 V3.9.520.6.0","RP BRASELTON CLINIC","172.26.20.153","172.26.20.0","RP MOB 2nd Floor Data Range"
"NGPG-RP-BC-NUR4","mwdetraz  5/3/2012","HP Universal Printing PCL 5","Riverplace Braselton Clinic","172.26.21.227","172.26.20.0","RP MOB 2nd Floor Data Range"
"NGPG-RP-BC-NUR3","mwdetraz  5/3/2012","HP Universal Printing PCL 5","Riverplace Braselton Clinic","172.26.21.214","172.26.20.0","RP MOB 2nd Floor Data Range"
"NGPG-RP-BC-NUR2","","HP Universal Printing PCL 5","","172.26.21.213","172.26.20.0","RP MOB 2nd Floor Data Range"
"NGPG-RP-BC-FD1","Created by Andy B. - 7/18/2012","Lexmark Universal v2","RiverPlace Front Desk","172.26.21.210","172.26.20.0","RP MOB 2nd Floor Data Range"
"NGPG-OAK-XEROX","mwdetraz  5/2/2012","Xerox GPD PCL6 V3.9.520.6.0","NGPG Oakwood","172.19.18.166","172.19.18.0","Oakwood PCN"
"NGPG-OAK-UNIV-A","Created by GRLEWIS - PowerShell","HP Universal Printing PCL 5","","172.19.18.156","172.19.18.0","Oakwood PCN"
"NGPG-OAK-ORTH-B","Created 4/30/14 - jasewell","HP Universal Printing PCL 5","NGPG Oakwood Ortho Surgery Nurses Station","172.19.18.155","172.19.18.0","Oakwood PCN"
"NGPG-OAK-LAB-B","5/13/14 - AS","Xerox GPD PCL6 V3.9.520.6.0","NGPG Oakwood Lab","172.19.18.157","172.19.18.0","Oakwood PCN"
"NGPG-OAK-CHKOUT","","HP Universal Printing PCL 5","NGPG Oakwood Checkout","172.19.18.152","172.19.18.0","Oakwood PCN"
"REHAB-BUF-XEROX","Setup by Dave","Xerox GPD PCL6 V3.9.520.6.0","Friendship Rehab","172.19.16.115_1","172.19.16.0","UrgentCare Buford - Friendship Road"
"NGPG-MP12-URO-FRONTDESK","Created by GRLEWIS - PowerShell","Xerox GPD PCL6 V3.9.520.6.0","","172.19.72.175","172.19.72.0","OIC 2nd floor Medical Park 1 - OB/GYN - Data"
"NGPG-MP12-URO-F","","HP Universal Printing PCL 5","MP1 200 URO","172.19.72.162","172.19.72.0","OIC 2nd floor Medical Park 1 - OB/GYN - Data"
"NGPG-MP12-URO-Ex-P","","HP Universal Printing PCL 5","MP1 200 URO","172.19.72.155","172.19.72.0","OIC 2nd floor Medical Park 1 - OB/GYN - Data"
"NGPG-MP12-URO-Ex-M","","HP Universal Printing PCL 5","MP1 200 URO","172.19.72.152","172.19.72.0","OIC 2nd floor Medical Park 1 - OB/GYN - Data"
"NGPG-MP12-URO-Ex-L","","HP Universal Printing PCL 5","MP1 200 URO","172.19.72.151","172.19.72.0","OIC 2nd floor Medical Park 1 - OB/GYN - Data"
"NGPG-MP12-URO-Ex-J","","HP Universal Printing PCL 5","MP1 200 URO","172.19.72.149","172.19.72.0","OIC 2nd floor Medical Park 1 - OB/GYN - Data"
